Data;Endereco;Sentido;referencia;Hora_inicio;Hora_fim;Classificacao
19/03/2021;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;14:41;14:57;INTRANSITAVEL
19/03/2021;AV NSRA DO O;AMBOS;AV ANTONIO MUNHOZ BONILHA;15:33;17:59;INTRANSITAVEL
19/03/2021;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;15:35;16:11;TRANSITAVEL
30/11/2021;AV INAJAR DE SOUZA;AMBOS;ALTURA DO NUMERO 2357;19:01;20:00;TRANSITAVEL
16/01/2022;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;17:41;20:05;INTRANSITAVEL
16/01/2022;R CEL JOAQUIM DE FREITAS;AMBOS;R CAROLINA SOARES;17:42;19:03;INTRANSITAVEL
16/01/2022;R BARTHOLOMEU DO CANTO;AMBOS;AV NSRA DO O;18:05;20:05;INTRANSITAVEL
18/01/2022;AV INAJAR DE SOUZA;AMBOS;R LIBERATO BATISTA BUENO;17:36;18:35;INTRANSITAVEL
18/01/2022;AV ENG CAETANO ALVARES;AMBOS;R ZILDA;17:50;18:20;INTRANSITAVEL
20/01/2022;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;17:20;17:27;TRANSITAVEL
01/03/2022;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;19:25;22:13;INTRANSITAVEL
15/03/2022;AV ANTONIO MUNHOZ BONILHA;BAIRRO - CENTRO;AV NSRA DO O;01:10;02:23;INTRANSITAVEL
30/05/2022;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;21:10;01:06;TRANSITAVEL
30/05/2022;R BENEDITO AUGUSTO FERREIRA;AMBOS;R VICENTE FERREIRA LEITE;21:23;21:50;TRANSITAVEL
29/10/2022;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;19:10;20:24;TRANSITAVEL
13/12/2022;TRAVESSA CAPUA;ÚNICO;AV MANDAQUI;08:26;08:54;TRANSITAVEL
03/01/2023;R JOAO DUARTE;FREGUESIA;R SIMAO DE TOLEDO CASTELHANOS;16:20;22:32;INTRANSITAVEL
10/01/2023;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;16:52;17:12;INTRANSITAVEL
06/02/2023;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;13:41;15:01;TRANSITAVEL
07/02/2023;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;15:57;16:57;INTRANSITAVEL
12/02/2023;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;18:16;18:40;INTRANSITAVEL
